ï»¿id,question_id,timestamp,concept,sub_concept,bloom_level,question_stem,option_a,option_b,option_c,option_d,correct_option,a_explanation,b_explanation,c_explanation,d_explanation,main_explanation,model_used,source,relevance,bloom_score,accuracy,explainability,bloom_level.1,justification,bloom_mismatch,topic,topic_inferred
,1496.0,xxx,J5,J5.4.2 Explain why return type alone cannot overload,Analyze,"Why does changing only the return type, as in public int getValue() and public double getValue(), result in a compilation error?",The JVM cannot resolve the method call based on the return type alone.,Overloading requires static methods.,Java methods cannot have the same name.,The return types must be compatible for overloading.,A,"Correct. Overload resolution happens at compile time, and the return type is ambiguous. 87",Overloading works for both static and instance methods. 88,This is true only if the method signature is identical. 89,"

```java
Return type compatibility is not the issue; the ambiguity is. 90
```","Method overloading relies on the parameter list to resolve which method to call. Because the compiler cannot distinguish between two methods based on the return type alone, changing only the return type is not sufficient for overloading. 91",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1505.0,xxx,J5,J5.3.1 Explain pass-by-value for primitives,Analyze,"

```java
CODE TRACE: What is the final output? public static void main(String[] args) { int val = 5; change(val); System.out.print(val); } public static void change(int x) { x = x + 10; }
```",15,5,0,Error,B,Incorrect. The variable val is unaffected because int is passed by value. 132,"Correct. val remains 5. The parameter x received a copy and was modified, not val. 133",Incorrect. Default value is not used.,No error occurs. 134,"Primitive values are passed by value. The method operates on a copy of val, so modifying the parameter x does not affect the original variable val. 135",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1506.0,xxx,J5,J5.3.2 Explain reference semantics for objects/arrays,Analyze,"

```java
CODE TRACE: Assume Circle has a constructor Circle(int r) and a getter/setter for radius. What is the output? public static void main(String[] args) { Circle c = new Circle(5); change(c); System.out.print(c.getRadius()); } public static void change(Circle c) { c.setRadius(10); }
```",5,10,Error,,B,Incorrect. The reference allows permanent modification of the object's state. 136,"Correct. The reference is copied, so both c variables point to the same object, and the setter modifies the object permanently. 137",No error occurs.,The reference is valid.,"Objects are passed by reference value. The change method uses the shared reference to call the setter, permanently modifying the object's radius from 5 to 10. 138",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1507.0,xxx,J5,J5.3.3 Predict changes to arrays passed into methods,Analyze,"

```java
CODE TRACE: What is the final output of data[0]? public static void main(String[] args) { int[] data = {1, 2}; swap(data); System.out.print(data[0]); } public static void swap(int[] arr) { int temp = arr[0]; arr[0] = arr[1]; arr[1] = temp; }
```",1,2,0,Error,B,Incorrect. The array (object) is mutated by the method. 139,"Correct. The array elements are swapped in place, so data[0] is now 2. 140","Incorrect. Values are swapped, not zeroed.",No error occurs.,"

```java
Arrays are objects; passing them copies the reference, allowing the method to mutate the contents. The values $\{1, 2\}$ are swapped to $\{2, 1\}$. 141
```",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1508.0,xxx,J5,J5.3.2 Explain reference semantics for objects/arrays,Analyze,"

```java
CODE TRACE (Reference Reassignment): What is the output? public static void main(String[] args) { Circle c = new Circle(5); reassign(c); System.out.print(c.getRadius()); } public static void reassign(Circle x) { x = new Circle(10); }
```",10,5,Error,0,B,Incorrect. The reassignment only affects the local parameter x. 142,Correct. The original variable c remains pointing to the original object with radius 5. 143,No error occurs.,Incorrect. The original object is not affected.,Reassigning the parameter variable x to a new object only changes the local copy of the reference. The caller's variable c retains its original reference to the Circle(5) object. 144,,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1509.0,xxx,J5,J5.2.3 Trace control flow between caller and callee,Analyze,"

```java
CODE TRACE (Return): What is the output? public static void main(String[] args) { int r = getValue(5); System.out.print(r); } public static int getValue(int x) { if (x > 10) return 10; return 20; }
```",10,20,5,Error,B,"Incorrect. The condition x > 10 is false, so the method continues. 145","

```java
Correct. x is 5. The method skips the if block and executes return 20;. 146
```","Incorrect. The value 5 is passed in, but the method returns 20.",No error occurs.,"The method takes 5, fails the condition check, and proceeds to execute the second return statement, returning the integer value 20. 147",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1511.0,xxx,J5,J5.1.3 Write returning methods and use return correctly,Analyze,"

```java
CODE TRACE (Multiple Return): What is the output? public static String check(int x) { if (x > 10) return ""High""; if (x > 5) return ""Medium""; return ""Low""; } public static void main(String[] args) { System.out.print(check(8)); }
```",High,Medium,Low,Error,B,Incorrect. $8$ is not greater than $10$.,"Correct. $8$ is not $>10$, but it is $>5$, so the method returns ""Medium"" immediately.","Incorrect. The return ""Medium"" statement is executed first.",No error occurs.,"When $x=8$ is passed, the first if fails, and the second if succeeds. The method executes return ""Medium"" and immediately exits, ignoring subsequent statements.",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1512.0,xxx,J5,J5.3.3 Predict changes to arrays passed into methods,Analyze,"

```java
CODE TRACE: What is the output? public static void main(String[] args) { int[] arr = {10, 20}; modify(arr[0]); System.out.print(arr[0]); } public static void modify(int x) { x = x + 5; }
```",15,10,20,Error,B,"Incorrect. When arr[0] is passed, its value (10) is copied. 152",Correct. arr[0] (a primitive value) is passed by value to x. Changing x does not affect arr[0]. 153,This is arr[1].,No error occurs.,"The array element arr[0] is an integer primitive. When passed to modify, its value (10) is copied to the parameter $x$. Changing $x$ has no effect on the original array content. 154",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1513.0,xxx,J5,J5.1.3 Write returning methods and use return correctly,Analyze,"

```java
CODE TRACE (Unreachable Code): What is the result? public static int calculate() { return 10; System.out.print(""Done""); return 20; }
```","Returns 10, prints ""Done"", then returns 20.",Returns 10.,A compilation error occurs.,Returns 20.,C,The code after the first return is unreachable.,"The code would return 10, but the compiler flags the code afterward.",Correct. The code is syntactically correct but contains statements that are unreachable after the first unconditional return.,The second return statement is never reached.,"Once a non-conditional return statement is executed, the method immediately exits. Any executable statement after an unconditional return is considered unreachable code, which typically results in a compilation error.",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1515.0,xxx,J5,J5.3.2 Explain reference semantics for objects/arrays,Analyze,"

```java
CODE TRACE: Assume Circle has a private radius. If the change method is outside the Circle class, what happens? public static void change(Circle c) { c.radius = 10; }
```","Compiles successfully, and the radius changes.",Compilation Error: Cannot access private field radius.,Runtime Error: NullPointerException.,Compilation Error: Cannot pass an object.,B,The radius field is likely private. 158158158158,Correct. Private fields are only accessible within their own class. 159159159159,No null reference is shown.,Passing objects is valid. 160,"If radius is a private field, attempting to access it directly from an external method (even if the reference is valid) violates encapsulation, causing a compilation error. 161161161161",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1517.0,xxx,J5,J5.3.3 Predict changes to arrays passed into methods,Analyze,"

```java
CODE TRACE: What is the output? public static void main(String[] args) { int[] a = {1, 2}; modify(a); System.out.print(a[0]); } public static void modify(int[] arr) { arr = new int[]{5, 6}; }
```",5,1,6,Error,B,Incorrect. The reassignment only changes the local parameter's reference. 164,"

```java
Correct. The original array a still points to the $\{1, 2\}$ object. 165
```",Incorrect. The new array's value.,No error occurs.,"

```java
The statement arr = new int[]{5, 6}; only reassigns the local parameter arr to point to a new array. The caller's variable a remains pointing to the original array $\{1, 2\}$. 166
```",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1518.0,xxx,J5,J5.3.1 Explain pass-by-value for primitives,Analyze,"

```java
CODE TRACE (Multiple Changes): What is the final value of y? public static void main(String[] args) { int y = 5; change(y); System.out.print(y); } public static void change(int a) { a = a * 2; a = a - 1; }
```",5,9,10,Error,A,"Correct. Primitives are passed by value, so all changes occur only to the local parameter a, leaving the original y unchanged. 167",Incorrect. This is the calculated value of a.,Incorrect. This is the calculated value of a before the subtraction.,No error occurs.,"The primitive y is passed by value. The parameter a is mutated from 5 to 10 and then to 9, but the original variable y retains its value of 5. 168",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1522.0,xxx,J5,J5.3.3 Predict changes to arrays passed into methods,Analyze,"

```java
CODE TRACE: What is the output? public static int process(int[] data) { return data.length; } public static void main(String[] args) { int[] values = {1, 2, 3}; System.out.print(process(values)); }
```",1,3,Error,0,B,Incorrect. This is the length of the array. 180,"Correct. The array reference is passed, and the method correctly returns the array's length, which is 3. 181",No error occurs. 182,Incorrect. Length is 3. 183,"

```java
The length of the array object is accessed via the .length member variable. The array $\{1, 2, 3\}$ has three elements, so the length is 3. 184
```",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1523.0,xxx,J5,J5.5.2 Use constants across multiple methods to avoid duplication,Analyze,"

```java
CODE TRACE (Finality): What is the result of the following? public static final int SIZE = 10; public static void main(String[] args) { SIZE = 20; System.out.print(SIZE); }
```",10,20,Compilation Error,Runtime Error,C,Incorrect. The assignment will fail at compile time. 185,Incorrect. The assignment is illegal. 186,Correct. A final variable cannot be reassigned a value after its initial declaration/initialization. 187,The error is detected at compile time.,"The final keyword means the variable is a constant. Once initialized to 10, it cannot be reassigned to 20. This causes a compilation error. 188",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1524.0,xxx,J5,J5.3.2 Explain reference semantics for objects/arrays,Analyze,"

```java
CODE TRACE: What happens when doSomething(arr) is called? public static void main(String[] args) { Circle[] arr = {new Circle(1)}; doSomething(arr); } public static void doSomething(Circle[] data) { data[0].setRadius(5); }
```",The radius of the Circle in arr[0] is changed to 5.,A copy of the array is modified; arr is unchanged.,A NullPointerException occurs.,The array size is changed to 5.,A,"Correct. The array is an object, and arr and data share the reference to the same array containing the same circle reference. 189","The reference is copied, leading to a permanent change in the original array object. 190",The array and its element are initialized. 191,"The method mutates the element's state, not the array's length. 192",Passing an array (an object) copies its reference. The method uses this shared reference to access data[0] and successfully mutates the state (radius) of the single Circle object inside the array. 193,,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1529.0,xxx,J4 Ã¢â¬â Strings,J4.1.1 Construction,Analyze,"

```java
What is printed? String s = ""Things""; String t = new String(""Things""); System.out.println(s==t);
```",TRUE,FALSE,"""Things""",Error,B,== compares references.,Correct.,Wrong output.,Valid code.,Slide example shows literal vs new creates different objects.,,,,,,,,,,Strings,Strings
,1534.0,xxx,J4 Ã¢â¬â String Interning,J4.1.5 Interned strings,Analyze,"

```java
What prints? String s1=""Hi""; String s2=""Hi""; System.out.println(s1==s2);
```",FALSE,TRUE,depends,error,B,Not false.,Correct: interned literal reused.,Deterministic.,Valid code.,Literal strings share a single interned instance.,,,,,,,,,,Strings,Strings
,1536.0,xxx,J4 Ã¢â¬â StringBuilder,J4.1.7 SB modify,Analyze,"

```java
What is printed? StringBuilder sb=new StringBuilder(""Java""); sb.reverse(); sb.delete(1,3); System.out.println(sb);
```",Jv,vaJ,aa,Jaa,A,"

```java
Correct: reverse Ã¢â â avaJ; delete(1,3) removes v,a.
```",Wrong.,Wrong.,Wrong.,Step-by-step manipulation of StringBuilder.,,,,,,,,,,Strings,Strings
,1546.0,xxx,J4 Ã¢â¬â String Interning,J4.1.3 Interning behavior,Analyze,"

```java
What does this print? String s1=""A""; String s2=""A""; System.out.println(s1==s2);
```",TRUE,FALSE,Error,Depends,A,CorrectÃ¢â¬âinterning reuses same literal.,Wrong.,Valid code.,Same literal always refers to interned object.,Slides demonstrate identical interned literals share identity.,,,,,,,,,,Strings,Strings
,1550.0,xxx,J4 Ã¢â¬â Regex,J4.1.6 matches(),Analyze,"What does ""Java is fun"".matches(""Java.*"") return?",TRUE,FALSE,"""Java""",Error,A,Correct: regex matches prefix.,Incorrect.,Not what matches returns.,Valid code.,Slides: matches returns true if full string matches regex.,,,,,,,,,,Strings,Strings
,1554.0,xxx,J7 Ã¢â¬â Abstraction,J7.3.1 Contract design,Analyze,Why is abstraction useful based on the slides' contract diagram?,It forces users to see the implementation,It hides unnecessary details and exposes only public behavior,It ensures all fields are static,It prevents inheritance,B,Incorrect.,Correct.,Not true.,Irrelevant.,Slides show abstraction via public Ã¢â¬ÅcontractÃ¢â¬Â shielding implementation.,,,,,,,,,,Abstract Classes and Interfaces,Abstract Classes and Interfaces
,1559.0,xxx,J4 Ã¢â¬â Strings,J4.1.3 Interning,Analyze,"

```java
What prints? String s1=""Hi""; String s2=new String(""Hi""); System.out.println(s1==s2);
```",TRUE,FALSE,depends,Error,B,Not same reference.,CorrectÃ¢â¬ânew forces new object.,Deterministic.,Valid code.,Slide example: literal vs new Ã¢â â different objects.,,,,,,,,,,Strings,Strings
,1562.0,xxx,J4 Ã¢â¬â Strings,J4.1.6 matches(),Analyze,"What does ""abc123"".matches(""[a-z]+\\d+"") return?",TRUE,FALSE,Error,abc123,A,Correct.,Incorrect.,Valid expression.,Not a boolean.,Pattern = letters then digits Ã¢â â matches.,,,,,,,,,,Strings,Strings
,1568.0,xxx,J4 Ã¢â¬â Regex,J4.1.6 regex,Analyze,"Which regex matches any number of aÃ¢â¬â¢s, bÃ¢â¬â¢s, or cÃ¢â¬â¢s?","""abc*""","""[abc]+""","""(abc)*""",""".abc.""",B,Only matches Ã¢â¬Åabccc..Ã¢â¬Â patterns.,Correct.,Matches repeated Ã¢â¬ÅabcÃ¢â¬Â.,Matches any string containing abc.,"Per slides: [abc]+ = one/more of a, b, c.",,,,,,,,,,Strings,Strings
,1569.0,xxx,J4 Ã¢â¬â Coding Trace,J4.1.2 Immutability,Analyze,"

```java
What prints? String s=""Hi""; String t=s; s=""Bye""; System.out.println(t);
```",Hi,Bye,,Error,A,CorrectÃ¢â¬ât still refers to original literal.,t unchanged.,Not null.,Valid code.,"

```java
Assignment attaches new literal to s; t still bound to ""Hi"".
```",,,,,,,,,,Strings,Strings
,1576.0,xxx,J4 Ã¢â¬â Strings,J4.1.3 Interning,Analyze,"

```java
Given: String s1=""Hi""; String s2=""Hi""; String s3=new String(""Hi""); which is TRUE?
```",s1==s2 is false,s1==s3 is true,s1.equals(s3) is true,s1 and s3 share same object always,C,They share interned literal.,new creates separate object.,Correct.,False.,Interned literal == new operator distinction.,,,,,,,,,,Strings,Strings
,1582.0,xxx,J4 Ã¢â¬â Strings,J4.3.2 Builder modifications,Analyze,"

```java
What prints? StringBuilder sb=new StringBuilder(""Java""); sb.reverse(); sb.append(""!"");
```",Java!,avaJ,!avaJ,avaJ!,D,Not original.,Reverse only.,Wrong order.,Correct: reversed then appended.,"Reverse flips, append adds at end.",,,,,,,,,,Strings,Strings
,1590.0,xxx,J4 Ã¢â¬â Strings,J4.1.2 Interning,Analyze,"Based on string interning rules, which comparison is true? ""Things"" == ""Things""",always false,always true,true if interned,true if using new String(),C,Literals are interned so true.,Too general.,Correct.,Wrong.,Slides show literal strings are automatically interned.,,,,,,,,,,Strings,Strings
,1597.0,xxx,J4 Ã¢â¬â Strings,J4.1.1 Immutability trace,Analyze,"

```java
Given: String s=""hello""; s=""world"";, how many String objects exist afterward (ignoring interning)?
```",1,2,3,0,B,"""hello"" and ""world"".",Correct.,No extra copies.,Not zero.,Slides include memory trace showing two separate objects.,,,,,,,,,,Strings,Strings
,1609.0,xxx,J4 Ã¢â¬â Strings,J4.1.5 Interning,Analyze,"

```java
What does this print? String s1=""Hi""; String s2=""Hi""; System.out.println(s1==s2);
```",TRUE,FALSE,Compilation error,Unknown,A,CorrectÃ¢â¬âthey share interned literal.,Wrong.,Valid code.,Deterministic.,Slide Ã¢â¬Åinterned stringsÃ¢â¬Â explanation: identical literals share same object.,,,,,,,,,,Strings,Strings
,1612.0,xxx,J4 Ã¢â¬â Strings,J4.3.2 StringBuilder mutability,Analyze,"

```java
What is result after: StringBuilder sb = new StringBuilder(""Java""); sb.reverse();?
```",Java,avaJ,Jvaa,Error,B,Not original.,Correct: reverse reverses chars.,Incorrect.,Method valid.,Slides show reverse() example reversing the entire string.,,,,,,,,,,Strings,Strings
,1619.0,xxx,J4 Ã¢â¬â Strings,Interning (J4.1.1),Analyze,"

```java
What prints? String s1=""Hello""; String s2=""Hello""; System.out.println(s1==s2);
```",TRUE,FALSE,Depends,Error,A,Correct: same interned literal.,Wrong.,Deterministic.,Valid code.,Slides explain literals reference same interned object.,,,,,,,,,,Strings,Strings
,1626.0,xxx,J4 Ã¢â¬â Strings,StringBuilder usage (J4.1.6),Analyze,"

```java
What prints? StringBuilder sb=new StringBuilder(""Hi""); sb.append(""!""); System.out.println(sb);
```",Hi,Hi!,Hi!!,Error,B,Not correct.,Correct.,Only one append.,Valid code.,StringBuilder modifies in place.,,,,,,,,,,Strings,Strings
,1634.0,xxx,J4 Ã¢â¬â Strings,J4.1.2 Interning,Analyze,"

```java
What is result of: String s1=""Things""; String s2=new String(""Things"");
```",s1 == s2 is true,s1.equals(s2) is false,They reference different objects,Code does not compile,C,String literal vs new object create different refs.,equals compares content Ã¢â â true.,Correct.,Valid code.,"

```java
Literals are interned; new String makes new object.
```",,,,,,,,,,Strings,Strings
,1637.0,xxx,J4 Ã¢â¬â Strings,J4.1.7 Regular expressions,Analyze,What matches regex [abc]+?,"""aaabbc""","""xyz""","""a1b2""","""""",A,Correct: letters from set.,Not matched.,Digits not allowed.,Requires at least 1 char.,"[abc]+ means one or more of a, b, or c.",,,,,,,,,,Strings,Strings
,1641.0,xxx,J4 Ã¢â¬â StringBuilder,J4.1.9 Mutability,Analyze,"

```java
After: StringBuilder sb=new StringBuilder(""Hello""); sb.reverse();, what is sb?
```","""Hello""","""olleH""","""Hello """,,B,Not original.,Correct reversed.,Not added space.,Not null.,"StringBuilder mutates the existing buffer, reversing characters.",,,,,,,,,,Strings,Strings
,1650.0,xxx,J5,J5.1.3 Write returning methods and use return correctly,Analyze,Which method will result in a compilation error?,public int calculate() { int x = 5; return x; },public void calculate() { int x = 5; },public int calculate() { int x = 5; },public void calculate() { return; },C,"Valid method, returns an int.",Valid void method.,Correct. The method promises to return an int but does not contain a return statement18.,Valid void method using an empty return19.,A method declared with a non-void return type (like int) must guarantee that it returns a value of that type in all possible execution paths20.,,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1654.0,xxx,J5,J5.2.3 Trace control flow between caller and callee,Analyze,"When a method is invoked, what happens to the control flow?",The program terminates immediately.,"Execution pauses until the method finishes, then resumes at the next line in the caller.",The method runs concurrently with the caller's thread.,The caller's code is replaced by the method's code.,B,The program only terminates on System.exit() or end of main()3333.,Correct. Control jumps to the method and returns when return or the end of the method is reached34.,Execution is sequential unless threads are involved35353535.,"The caller's code remains, and control returns to it36.","When a method is called, control flow stops in the calling method, hops to the called method, executes its body, and jumps back to the line following the invocation when the method exits or hits a return statement37.",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1656.0,xxx,J5,J5.3.1 Explain pass-by-value for primitives,Analyze,"

```java
Code: int x = 10; change(x); // Inside change(int a): a--; What is the value of x after the method call?
```",9,10,Error,0,B,"The parameter a changes, but x is protected42.","Correct. The change is made to a copy of x's value, leaving the original x in the caller unchanged43.","

```java
No error occurs; this is valid code.
```",The default value of an uninitialized int.,"

```java
Primitive variables are passed by value; the method modifies a local copy (a), so the original variable (x) in the calling context remains unchanged44.
```",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1658.0,xxx,J5,J5.3.2 Explain reference semantics for objects/arrays,Analyze,"When an object is passed to a method, why can the method permanently change the object's state?",Because the method uses a deep copy of the object.,Because object variables are implicitly static.,Because the copied reference points to the same object in memory.,Because the object variable's value is an integer.,C,"Only the reference is copied, not a deep copy of the object47.",Object variables are instance members.,Correct. The method accesses the original object via the shared reference48.,"The value is a reference, not a numeric primitive49.","Since the copied reference points to the original object in memory, any non-private field or method call that modifies the object's state affects the single shared object50.",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1662.0,xxx,J5,J5.4.1 Recognize overloaded methods by differing parameter lists,Analyze,"Given public void print(int x) and public void print(double d), what does Java use to decide which method to execute?",The return type (void),The method name (print),The name and type of the argument supplied,The visibility modifier (public),C,Return type is not used for selection.,Method name is the same (overloaded).,Correct. The argument type matches one parameter or the other.,Visibility is for access control.,Java selects the correct overloaded method by matching the number and type of the arguments provided in the method call to the parameters defined in the method signature61.,,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1670.0,xxx,J4 Ã¢â¬â Strings,String immutability (J4.1.1),Analyze,"

```java
Why does this print twice? final String w=""Welcome""; System.out.println(w); w.replace('e','E'); System.out.println(w);
```",String is mutable,replace modifies original,replace returns a new string,final forces uppercase,C,Incorrect.,WrongÃ¢â¬âreplace never modifies original.,Correct.,Wrong.,Slides explicitly show this behavior.,,,,,,,,,,Strings,Strings
,1674.0,xxx,J4 Ã¢â¬â Strings,replaceAll regex (J4.1.3),Analyze,"Result of ""a+b $# c"".replaceAll(""[$+#]"",""NNN"")?","""aNNNb $# c""","""a+bNNNc""","""aNNNbNNNNNNc""","""Error""",C,Partial replacement only.,Wrong.,Correct.,Valid regex.,Slides show the same example.,,,,,,,,,,Strings,Strings
,1687.0,xxx,J5,J5.3.2 Explain reference semantics for objects/arrays,Analyze,"

```java
Code: void setR(Circle c) { c.setRadius(c.getRadius()+1); } Circle x = new Circle(1); setR(x); What prints when you execute System.out.println(x.getRadius());?
```",1,2,0,Error,B,The radius was incremented through the reference104.,"Correct. Objects are passed by reference value, allowing mutation of the original object105.",Not the default value.,The code is valid.,"The objects are passed by reference value, meaning the method's parameter c refers to the same Circle object as x, allowing the radius modification to persist106. $1 + 1 = 2$.",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1692.0,xxx,J5,J5.2.3 Trace control flow between caller and callee,Analyze,A program executes a statement that calls a method. What happens right before the method's code body is executed?,The parameters receive copies of the argument values.,The program checks for runtime errors.,The compiler verifies the method's return type.,The Java code is converted to bytecode.,A,Correct. The parameters are initialized before execution of the method body begins117.,Runtime errors are checked during execution.,The compiler does this check before runtime.,This happens during compilation (javac).,The first step when a method is invoked is that the argument values are copied into the method's corresponding parameter variables118.,,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1696.0,xxx,J5,J5.5.1 Define public static final constants,Analyze,"

```java
In the declaration public static final double DOLLARS_PER_EURO = 1.05;, why is the static keyword used?
```",To allow the constant to be changed by any method.,To make the constant accessible only within its defining method.,"To tie the constant to the class, making it sharable by all instances.",To prevent the constant from being initialized.,C,The final keyword prevents changing the value.,"static gives it class-level scope, outside methods127.","Correct. static makes it a class member, shared by the class and not duplicated in every object128.",final requires initialization.,"The static keyword ensures that the constant belongs to the class itself, so there is only one copy of the value, which can be accessed by all methods and objects of that class129.",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1703.0,xxx,J4 Ã¢â¬â Strings,Interning (J4.1.2),Analyze,"

```java
What is result of: String a=""Java""; String b=""Java""; String c=new String(""Java""); Which compares true?
```",a==b,a.equals(c),b==c,All false,A,Correct: literals are interned.,True but not ==.,new creates new object.,Wrong.,Slides: identical literals share interned instances.,,,,,,,,,,Strings,Strings
,1706.0,xxx,J7 Ã¢â¬â OOP,Reference Semantics (J7.5.1),Analyze,"

```java
What prints? Integer x = 5; Integer y = x; x = 10; System.out.println(y);
```",5,10,,Error,A,Correct.,y not changed because x reassigned to new object.,Not null.,Code valid.,Wrapper reassignment doesn't modify the original boxed value.,,,,,,,,,,Classes and Objects,Classes and Objects
,1709.0,xxx,J7 Ã¢â¬â OOP,Object Identity (J7.1.1),Analyze,"

```java
How many objects? String a=""Hello""; String b=""Hello""; String c=new String(""Hello"");
```",1,2,3,0,B,Not 1: new creates extra.,Correct: literal = 1 + new literal = 2 objs.,Wrong.,No zero.,"

```java
Interned literal reused for a and b; new creates second object.
```",,,,,,,,,,Classes and Objects,Classes and Objects
,1717.0,xxx,J5 Ã¢â¬â Methods,J5.1.3 Write returning methods and use return correctly,Analyze,What happens immediately after a Java method executes a return statement?,The program terminates.,A new thread of execution is started.,Execution stops in the method and hops back to the line after where the method was called.,The entire class is disposed of by the JVM.,C,This only happens with System.exit().,New threads are started explicitly.,Correct. Control flow returns to the caller77.,Unrelated to return.,"Execution of the method immediately stops, and the control flow hops back to the exact point in the calling code right after the method invocation88.",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1720.0,xxx,J5 Ã¢â¬â Methods,J5.2.3 Trace control flow between caller and callee,Analyze,"When a method is called, which of the following actions happens last before the called method's body begins execution?",The caller passes its variables to the method.,The method's parameter variables are initialized with the argument values.,The Java Virtual Machine (JVM) finds the method definition.,The caller's execution is halted temporarily.,B,"The argument values are copied, not the caller's variables themselves15.",Correct. Argument values are copied to the parameters before the body executes16.,The method definition is located first.,Halting is the start of the process.,"When a method is invoked, the first step is copying the argument values into the parameter variables of the method (pass-by-value)17.",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1724.0,xxx,J5 Ã¢â¬â Methods,J5.3.2 Explain reference semantics for objects/arrays,Analyze,"Why can a method permanently change the contents of an array passed into it, even though Java uses pass-by-value for all arguments?",Arrays are an exception and are passed by reference.,"The array is static, allowing universal access.","The array variable's value is the reference, so the copy points to the same object.","The method copies the array, changes it, and then returns the copy.",C,"Java is strictly pass-by-value, but the value of an object is the reference27.",Array mutability is unrelated to static.,Correct. The copy of the reference targets the original object in memory28.,The array would have to be explicitly returned and reassigned.,"Arrays are objects, and their variable holds a reference (memory address). Passing this reference value allows the method's parameter to target and mutate the original object/array in memory29.",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1727.0,xxx,J5 Ã¢â¬â Methods,J5.4.2 Explain why return type alone cannot overload,Analyze,"Why does changing only the return type of a method (e.g., from int to double) while keeping the name and parameters the same not count as method overloading?",The compiler cannot determine which method to call solely from the arguments supplied.,The return type is always irrelevant in method signature matching.,The original method is automatically set to void.,Only the final keyword can prevent a method from being overloaded.,A,"Correct. Since the method call is based only on name and arguments, the compiler would be ambiguous.","The return type is part of the method header, but not the parameter list35.",Unrelated to the ambiguity of the call.,final is used for constants and inheritance restriction.,"The compiler determines which method to call based on the method name and the types/number of arguments. If only the return type changes, the call becomes ambiguous, as the compiler cannot decide which version to use based only on the passed arguments36.",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1730.0,xxx,J5 Ã¢â¬â Methods,J5.5.2 Use constants across multiple methods to avoid duplication,Analyze,"

```java
A program defines final int MAX_ATTEMPTS = 3; inside a method. Why is this a less effective use of a constant compared to defining it at the class level (as public static final)?
```",It violates the UPPER\_SNAKE\_CASE convention.,It causes a compilation error because final must be static.,The value is not accessible to other methods that might need it.,The value will be overwritten every time the method is called.,C,It follows the naming convention.,final variables can be local to a method.,Correct. The benefit of a class constant is shared accessibility4343.,final prevents it from being overwritten (locally initialized).,"A local final variable only has scope within the method44. Defining it at the class level makes it accessible to all methods that require that shared, immutable value, maximizing its utility4545.",,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
,1733.0,xxx,J5 Ã¢â¬â Methods,J5.1.3 Write returning methods and use return correctly,Analyze,Coding Question: Which method correctly returns the larger of two integer values?,"public int getMax(int a, int b) { if (a > b) return a; else return b; }","public void getMax(int a, int b) { if (a > b) return a; else return b; }","public int getMax(int a, int b) { if (a > b) return a; }","public int getMax(int a, int b) { System.out.println(Math.max(a, b)); }",A,Correct. Uses the required int return type and guarantees a return value for all paths.,Incorrect. Return type is void but attempts to return an int.,Incorrect. Does not guarantee a return value if a is not greater than b.,Incorrect. Prints the value instead of returning it.,A returning method must guarantee that a value of the declared return type (int) is returned across all possible execution paths.,,,,,,,,,,Methods and Parameter Passing,Methods and Parameter Passing
